seed,nonshuffle,shuffle
0,0.8828999757766723,0.8531799733638763
1,0.87390998005867,0.8528199791908264
2,0.877679967880249,0.8505699813365937
3,0.8844099819660187,0.853279972076416
4,0.8825899720191955,0.8565899729728699
5,0.8849599778652191,0.8509099781513214
6,0.8794399797916412,0.8555099785327911
7,0.8807099759578705,0.8514899730682373
8,0.8843099772930145,0.8531999826431275
9,0.8807699799537658,0.8522199809551239
