config,coord_dim,seed,k_frac,spearman_D_S,perm_null_mean,perm_null_sd,perm_p,perm_p_one_sided,n_perm,n_inputs,n_pairs,inputs,within_imp_mean_rho,cohesion_selected,cohesion_random_mean,cohesion_random_sd,cohesion_z,cohesion_matched_mean,cohesion_matched_sd,cohesion_matched_z,imp_selected,imp_all
cifar10 geo_m,3,0,0.05,-0.07137115037984901,-3.75854477730774e-05,0.005301522129467489,0.001,0.001,999,10000,300000,test,-0.07765558722008212,0.008953179232776165,0.01884787142742425,0.002782162988765335,-3.5564746677485872,0.026557602183893324,0.004123609547106225,-4.269177948528618,0.6152011156082153,0.5089207887649536
cifar10 geo_m,3,0,0.1,-0.07137115037984901,-3.75854477730774e-05,0.005301522129467489,0.001,0.001,999,10000,300000,test,-0.07765558722008212,0.01038055308163166,0.018565605850890277,0.0019613121094086455,-4.173253571331508,0.024939444055780767,0.002481990830379921,-5.865811746796321,0.6004872918128967,0.5089207887649536
cifar10 geo_m,3,0,0.2,-0.07137115037984901,-3.75854477730774e-05,0.005301522129467489,0.001,0.001,999,10000,300000,test,-0.07765558722008212,0.011996768414974213,0.018727784012444317,0.0012690186257390565,-5.304110952860094,0.02296327312476933,0.0011948670406102277,-9.17801255528517,0.5728970766067505,0.5089207887649536
cifar10 geo_m,3,1,0.05,-0.07230526560516072,0.000342903151811834,0.005085467153099493,0.001,0.001,999,10000,300000,test,-0.07892119318254479,0.011513717472553253,0.01874801576603204,0.0027614664675846257,-2.6197306307277692,0.027128216065466403,0.0037444558844031473,-4.170031393288003,0.6159168481826782,0.5089207887649536
cifar10 geo_m,3,1,0.1,-0.07230526560516072,0.000342903151811834,0.005085467153099493,0.001,0.001,999,10000,300000,test,-0.07892119318254479,0.009038186632096767,0.018848867216147484,0.001984789811146873,-4.942931752273995,0.024215898318216203,0.00233354813834563,-6.504134810938825,0.5898125767707825,0.5089207887649536
cifar10 geo_m,3,1,0.2,-0.07230526560516072,0.000342903151811834,0.005085467153099493,0.001,0.001,999,10000,300000,test,-0.07892119318254479,0.017337437719106674,0.0188369593443349,0.0012703750029267684,-1.1803771489466963,0.026850430639460684,0.001415865774947274,-6.718852225938872,0.6103999018669128,0.5089207887649536
cifar10 geo_m,3,2,0.05,-0.0700308883631959,0.00012970765365234897,0.0051662164587927785,0.001,0.001,999,10000,300000,test,-0.07713680503792195,0.016574997454881668,0.019012179970741273,0.0029604753293257496,-0.8232402718895261,0.030135336741805078,0.004130228340778895,-3.283193606938194,0.6474157571792603,0.5089207887649536
cifar10 geo_m,3,2,0.1,-0.0700308883631959,0.00012970765365234897,0.0051662164587927785,0.001,0.001,999,10000,300000,test,-0.07713680503792195,0.01541677862405777,0.01868710080627352,0.001753774488678341,-1.8647335797520679,0.028207330219447612,0.002616575680850468,-4.888278861609017,0.6257376670837402,0.5089207887649536
cifar10 geo_m,3,2,0.2,-0.0700308883631959,0.00012970765365234897,0.0051662164587927785,0.001,0.001,999,10000,300000,test,-0.07713680503792195,0.013294706121087074,0.018813373940065502,0.0011709920131296883,-4.712814222802403,0.024083085488528014,0.0014758508775050225,-7.3099386425606445,0.5873821973800659,0.5089207887649536
cifar10 geo_m,3,3,0.05,-0.07105278379636948,-0.00027779058107661557,0.005223672341699794,0.001,0.001,999,10000,300000,test,-0.07738429749068453,0.0139692984521389,0.018820715458132325,0.0027507737140575837,-1.7636554324468914,0.02671216716989875,0.0036061379267498853,-3.533660933959615,0.6126444339752197,0.5089207887649536
