knob,config,n_variants,gap_lowk_mean,gap_lowk_sd,gap_mean_mean,gap_mean_sd,gap_k05_mean,gap_k05_sd,orig_k05_mean,orig_k05_sd,gap_lowk_min,gap_lowk_max
calibration split,cifar10 / r50 / geo_m,5,0.04778333306312561,0.0034124614111271253,0.020608999133110047,0.0009503137610041832,0.10496001243591309,0.009261104684419513,0.8478799819946289,0.003970150718493725,0.04519999027252197,0.05375000834465027
calibration split,imagenet100 / r50 / geo_m,5,0.24823999106884004,0.005136488550436063,0.0889019963145256,0.0016786950047776618,0.48287997841835023,0.015053647858758385,0.8211199760437011,0.0070435776188220505,0.24049998819828033,0.2534333070119222
calibration split,imagenet100 / r50 / geo_r,5,0.14114666283130645,0.01784304219891464,0.0415920028090477,0.0065848299273145805,0.2693599879741669,0.03923275046825118,0.5949999809265136,0.041278575560278606,0.11339999238650005,0.16196665167808533
projection seed,cifar10 / r50 / geo_r,5,0.02222999930381775,0.008108905702411434,0.005755001306533813,0.004775731747154216,0.04898000955581665,0.011698138693923122,0.7920599818229676,0.010086024864626241,0.008316665887832642,0.02838332454363505
projection seed,imagenet100 / r50 / geo_r,5,0.15153333246707917,0.022014178165073943,0.0442379978299141,0.009231832936449837,0.2726799964904785,0.031050154433398713,0.6123599886894227,0.02652976239839949,0.1209333340326945,0.18093333641688028
