root,coord,condition,n_runs,iters,rel_improve_mean,rel_improve_median,last_step_mean,frac_last_step_lt_1e-3
"dim_sweep (d 1..8, 3 datasets)",geo_r,orig,6000,20,0.18121065734027741,0.08927935232694859,0.0015373900063735894,0.8945
"dim_sweep (d 1..8, 3 datasets)",geo_r,shuffled,6000,20,0.09689692071154048,0.032803531519730214,0.0014430711045402853,0.9236666666666666
"dim_sweep (d 1..8, 3 datasets)",geo_pca,orig,6000,20,0.1822914428067578,0.0985526862987165,0.0017549581875951816,0.8766666666666667
"dim_sweep (d 1..8, 3 datasets)",geo_pca,shuffled,6000,20,0.09591845916825546,0.03196452188846321,0.0014509900428949394,0.9263333333333333
