config,coord_dim,seed,k_frac,spearman_D_S,perm_null_mean,perm_null_sd,perm_p,perm_p_one_sided,n_perm,n_inputs,n_pairs,inputs,within_imp_mean_rho,cohesion_selected,cohesion_random_mean,cohesion_random_sd,cohesion_z,cohesion_matched_mean,cohesion_matched_sd,cohesion_matched_z,imp_selected,imp_all
cifar10 geo_m,3,0,0.05,-0.06349302596723215,-4.661323506714409e-05,0.005252637559554805,0.001,0.001,999,4000,300000,calib,-0.07300604035989056,0.009222985245287418,0.019573105755262075,0.002898138648692954,-3.5712992927619975,0.02813202070072293,0.004158581489961289,-4.546991683711009,0.6151010990142822,0.5107829570770264
cifar10 geo_m,3,0,0.1,-0.06349302596723215,-4.661323506714409e-05,0.005252637559554805,0.001,0.001,999,4000,300000,calib,-0.07300604035989056,0.010935495607554913,0.01930425772909075,0.0020251385087341066,-4.132439377015563,0.026282408526167273,0.0023461711761980646,-6.5412588253430615,0.6001144051551819,0.5107829570770264
cifar10 geo_m,3,0,0.2,-0.06349302596723215,-4.661323506714409e-05,0.005252637559554805,0.001,0.001,999,4000,300000,calib,-0.07300604035989056,0.012926748022437096,0.019437180305831133,0.0013012959818193691,-5.003037256204102,0.02375719993375242,0.0014431877951770018,-7.5045340183759475,0.5727076530456543,0.5107829570770264
cifar10 geo_m,3,1,0.05,-0.06819451615724527,0.0003108153549811583,0.005038706034236025,0.001,0.001,999,4000,300000,calib,-0.07575240536165344,0.010850545018911362,0.01895779838319868,0.0027781514429498443,-2.918218652889854,0.027129107220098377,0.0036269187067496963,-4.488262217293248,0.6160148978233337,0.5114120244979858
cifar10 geo_m,3,1,0.1,-0.06819451615724527,0.0003108153549811583,0.005038706034236025,0.001,0.001,999,4000,300000,calib,-0.07575240536165344,0.009034567512571812,0.0190874325344339,0.0019561592283689777,-5.13908319472795,0.024013279881328346,0.0022586494014165855,-6.63171201016432,0.5900721549987793,0.5114120244979858
cifar10 geo_m,3,1,0.2,-0.06819451615724527,0.0003108153549811583,0.005038706034236025,0.001,0.001,999,4000,300000,calib,-0.07575240536165344,0.017271483317017555,0.019104352626018225,0.0012837385548503098,-1.4277590251128915,0.026500636730343103,0.0014567575504450014,-6.3354079779239,0.6105509400367737,0.5114120244979858
cifar10 geo_m,3,2,0.05,-0.06602276599823537,0.00015810910847190686,0.004965701031233045,0.001,0.001,999,4000,300000,calib,-0.07217160107703655,0.016229433938860893,0.01868059518747032,0.002930087121792442,-0.8365489304199974,0.029882779605686666,0.004204883842646881,-3.247020886784895,0.645266056060791,0.509713888168335
cifar10 geo_m,3,2,0.1,-0.06602276599823537,0.00015810910847190686,0.004965701031233045,0.001,0.001,999,4000,300000,calib,-0.07217160107703655,0.01502957846969366,0.018364498447626828,0.0017611812237783092,-1.8935700261924802,0.026813398199155927,0.002252331653131729,-5.231831514619863,0.623664915561676,0.509713888168335
cifar10 geo_m,3,2,0.2,-0.06602276599823537,0.00015810910847190686,0.004965701031233045,0.001,0.001,999,4000,300000,calib,-0.07217160107703655,0.013194043189287186,0.018490477870218455,0.0011548633170748988,-4.586200460293577,0.02335463791154325,0.001365030742152809,-7.443491491472316,0.585952639579773,0.509713888168335
cifar10 geo_m,3,3,0.05,-0.06759582477703639,-0.00023723197103306542,0.005081191920937742,0.001,0.001,999,4000,300000,calib,-0.07440015851480004,0.014195142313838005,0.01864353148266673,0.002692463101666146,-1.6521634649046135,0.02646659955382347,0.0039256318639647545,-3.1259826856168136,0.6118032932281494,0.5112135410308838
cifar10 geo_m,3,3,0.1,-0.06759582477703639,-0.00023723197103306542,0.005081191920937742,0.001,0.001,999,4000,300000,calib,-0.07440015851480004,0.017158206552267075,0.01871954947710037,0.0018080621749467418,-0.8635449298173294,0.027842107219621538,0.0024793903409000197,-4.3090837641833835,0.6270930171012878,0.5112135410308838
cifar10 geo_m,3,3,0.2,-0.06759582477703639,-0.00023723197103306542,0.005081191920937742,0.001,0.001,999,4000,300000,calib,-0.07440015851480004,0.018403751775622368,0.018663752814754842,0.0011961187341497307,-0.21737059331315237,0.02687622015364468,0.0013501338796685857,-6.275280177271568,0.6181142330169678,0.5112135410308838
cifar10 geo_m,3,4,0.05,-0.07268305106838048,1.858358841400964e-05,0.0052451113260572006,0.001,0.001,999,4000,300000,calib,-0.07731538170303207,0.009000568650662899,0.01955671714153141,0.00294623782096753,-3.5829247768664505,0.022927781320177018,0.0031690506599061762,-4.394758607466279,0.5705499649047852,0.5117396712303162
cifar10 geo_m,3,4,0.1,-0.07268305106838048,1.858358841400964e-05,0.0052451113260572006,0.001,0.001,999,4000,300000,calib,-0.07731538170303207,0.014310173690319061,0.019315741080790757,0.002019143261398141,-2.4790550941524434,0.026838655630126596,0.002366593459243614,-5.293888515401319,0.6165947318077087,0.5117396712303162
cifar10 geo_m,3,4,0.2,-0.07268305106838048,1.858358841400964e-05,0.0052451113260572006,0.001,0.001,999,4000,300000,calib,-0.07731538170303207,0.013123732060194016,0.01931384824682027,0.0013083326945108403,-4.731301302692979,0.024502697885036468,0.0013387918903670138,-8.499428401245854,0.5906025767326355,0.5117396712303162
cifar10 geo_m,3,5,0.05,-0.0700516076388739,9.374972346227135e-05,0.0051405372977073515,0.001,0.001,999,4000,300000,calib,-0.07770902126128584,0.007672493811696768,0.01924304569605738,0.0028243292024002302,-4.096743350750592,0.02406682735309005,0.003440596763063352,-4.764968017359738,0.585372805595398,0.5094814896583557
cifar10 geo_m,3,5,0.1,-0.0700516076388739,9.374972346227135e-05,0.0051405372977073515,0.001,0.001,999,4000,300000,calib,-0.07770902126128584,0.008457163348793983,0.018977973223663867,0.0018510110882711504,-5.683817852767447,0.02352409456856549,0.002096373677250628,-7.187140048593096,0.5825571417808533,0.5094814896583557
cifar10 geo_m,3,5,0.2,-0.0700516076388739,9.374972346227135e-05,0.0051405372977073515,0.001,0.001,999,4000,300000,calib,-0.07770902126128584,0.01905766874551773,0.018915161201730372,0.001118324393806514,0.12742952264044527,0.027586880596354602,0.0013608605807916513,-6.26751334042439,0.6174091696739197,0.5094814896583557
cifar10 geo_m,3,6,0.05,-0.06570368437661227,0.00017018450325805283,0.005312247383207636,0.001,0.001,999,4000,300000,calib,-0.07190313664920643,0.008988986723124981,0.01895773293916136,0.0029597115251591565,-3.3681479184469403,0.024541993318125607,0.003466267438937983,-4.486960935500953,0.5910478234291077,0.5081537365913391
cifar10 geo_m,3,6,0.1,-0.06570368437661227,0.00017018450325805283,0.005312247383207636,0.001,0.001,999,4000,300000,calib,-0.07190313664920643,0.01230106595903635,0.019377928972244263,0.0018640719692566369,-3.7964537454171383,0.02586317665874958,0.002375313184652192,-5.709609487133576,0.6091225743293762,0.5081537365913391
cifar10 geo_m,3,6,0.2,-0.06570368437661227,0.00017018450325805283,0.005312247383207636,0.001,0.001,999,4000,300000,calib,-0.07190313664920643,0.017791518941521645,0.019268463402986526,0.0011672132007263226,-1.265359626913457,0.025835430398583412,0.0014140433694768005,-5.6885889252105795,0.6059021949768066,0.5081537365913391
cifar10 geo_m,3,7,0.05,-0.06722409824906204,6.7019860372225e-05,0.005124750961357486,0.001,0.001,999,4000,300000,calib,-0.07181029554498064,0.005980128888040781,0.01893935636151582,0.0027580361733747297,-4.698715554886806,0.024620475061237813,0.0035892008088378603,-5.1934531280903995,0.5997281670570374,0.5111643671989441
cifar10 geo_m,3,7,0.1,-0.06722409824906204,6.7019860372225e-05,0.005124750961357486,0.001,0.001,999,4000,300000,calib,-0.07181029554498064,0.015123400837182999,0.01845881718210876,0.0016789606428082298,-1.9865959081449036,0.026735427314415573,0.0023879944651711326,-4.8626689222823405,0.619926929473877,0.5111643671989441
cifar10 geo_m,3,7,0.2,-0.06722409824906204,6.7019860372225e-05,0.005124750961357486,0.001,0.001,999,4000,300000,calib,-0.07181029554498064,0.02139272354543209,0.018611354772001504,0.0012418242244255186,2.2397443345716126,0.02764565384015441,0.0013359751770239826,-4.680424006058944,0.6249786019325256,0.5111643671989441
cifar10 geo_m,3,8,0.05,-0.06689809264559887,-3.9182181466180155e-05,0.005301935962816184,0.001,0.001,999,4000,300000,calib,-0.07363330760925604,0.0071764374151825905,0.01945068871136755,0.0028695704583576575,-4.277382789524709,0.020880101444199682,0.003144724817554539,-4.357667147269162,0.5413337349891663,0.5096486210823059
cifar10 geo_m,3,8,0.1,-0.06689809264559887,-3.9182181466180155e-05,0.005301935962816184,0.001,0.001,999,4000,300000,calib,-0.07363330760925604,0.008034895174205303,0.019422691869549452,0.0017582740791520946,-6.476690308918777,0.022497944505885242,0.0022476347248134455,-6.434786384805294,0.5615279078483582,0.5096486210823059
cifar10 geo_m,3,8,0.2,-0.06689809264559887,-3.9182181466180155e-05,0.005301935962816184,0.001,0.001,999,4000,300000,calib,-0.07363330760925604,0.01835503801703453,0.019596932819113136,0.0012262712832629896,-1.0127406700426862,0.02730613935738802,0.0014732666456759103,-6.075683149787992,0.6132732033729553,0.5096486210823059
cifar10 geo_m,3,9,0.05,-0.07083200845757102,-0.0002884024450517877,0.0052963907699784575,0.001,0.001,999,4000,300000,calib,-0.07411729817684369,0.007377429865300655,0.020203149118460714,0.0029802958253010866,-4.303505423848596,0.025764905512332917,0.003759295196188548,-4.891202920372852,0.6109969615936279,0.5104485750198364
cifar10 geo_m,3,9,0.1,-0.07083200845757102,-0.0002884024450517877,0.0052963907699784575,0.001,0.001,999,4000,300000,calib,-0.07411729817684369,0.012896287254989147,0.019965661498717965,0.0019349979688490619,-3.653427214851424,0.025460241343826056,0.0025129045585904467,-4.999773684554332,0.601405143737793,0.5104485750198364
cifar10 geo_m,3,9,0.2,-0.07083200845757102,-0.0002884024450517877,0.0052963907699784575,0.001,0.001,999,4000,300000,calib,-0.07411729817684369,0.014145457185804844,0.01986011535860598,0.0012420650103294152,-4.600933220624728,0.02481936791911721,0.0014520473022603911,-7.350938712082886,0.5914191603660583,0.5104485750198364
