config,lowk_gap,k005_gap,k005_orig
imagenet100 geo_m  shell,0.2437199930349986,0.4675199925899506,0.8075199842453002
imagenet100 geo_r  shell,0.2054999937613805,0.33659998774528505,0.6879599809646606
imagenet100 geo_m  L1,0.2483599950869878,0.4693999946117401,0.8037599802017212
imagenet100 geo_r  L1,0.12723334232966108,0.23700000047683717,0.5825199961662293
cifar10     geo_m  shell,0.04898167252540588,0.10539001226425171,0.8466299831867218
cifar10     geo_m  L1,0.05013333161671957,0.10466999411582947,0.8446299791336059
