k_frac,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,p_two_sided,holm_p,sig_holm
0.05,0.8487399756908417,0.7431879794597627,0.1055519962310791,0.10261793566119323,0.10848605680096496,25.73476165348193,0.001953125,0.0390625,True
0.1,0.8730199813842774,0.8103939807415008,0.06262600064277649,0.06139489557727016,0.06385710570828282,36.390023328113095,0.001953125,0.0390625,True
0.15,0.8860499858856201,0.8388079798221589,0.047242006063461295,0.04557929020971417,0.04890472191720842,20.325117616004153,0.001953125,0.0390625,True
0.2,0.8910599708557129,0.8551019775867463,0.03595799326896668,0.034043643815317375,0.03787234272261599,13.436835558297256,0.001953125,0.0390625,True
0.25,0.8948499739170075,0.8656499814987182,0.02919999241828921,0.02767642404499634,0.030723560791582078,13.710192858341077,0.001953125,0.0390625,True
0.3,0.8978499829769134,0.8743539774417878,0.02349600553512572,0.021667566268184113,0.025324444802067324,9.192555709215114,0.001953125,0.0390625,True
0.35,0.9014699757099152,0.8800579762458801,0.021411999464035027,0.020547407263379842,0.02227659166469021,17.716122902369836,0.001953125,0.0390625,True
0.4,0.9042199790477753,0.8854979765415193,0.018722002506256108,0.01796549491846517,0.019478510094047045,17.70360800419564,0.001953125,0.0390625,True
0.45,0.9060599744319916,0.8894899773597716,0.016569997072219855,0.015529053520850015,0.017610940623589692,11.387228271818868,0.001953125,0.0390625,True
0.5,0.9076899707317352,0.8932299768924713,0.014459993839263918,0.013432511030555719,0.015487476647972117,10.067376666102827,0.001953125,0.0390625,True
0.55,0.9087999701499939,0.8960499787330629,0.01274999141693114,0.011905440604496999,0.01359454222936528,10.799580412314917,0.001953125,0.0390625,True
0.6,0.9083999752998352,0.8992019748687744,0.009198000431060782,0.00792973137534893,0.010466269486772635,5.188057770428963,0.001953125,0.0390625,True
0.65,0.9092699825763703,0.9012919783592223,0.007978004217147838,0.006948764320940654,0.009007244113355023,5.544985608924506,0.001953125,0.0390625,True
0.7,0.9098499774932861,0.9035259795188904,0.006323997974395745,0.005394980045981016,0.007253015902810475,4.869567621852115,0.001953125,0.0390625,True
0.75,0.910539972782135,0.9051459717750548,0.005394001007080073,0.004681699832991949,0.006106302181168198,5.417140967326367,0.001953125,0.0390625,True
0.8,0.9095999777317048,0.9062619781494142,0.0033379995822906293,0.00260665784634349,0.004069341318237768,3.2650414108068744,0.001953125,0.0390625,True
0.85,0.9099099636077881,0.9077819740772247,0.0021279895305633565,0.0015020166162427158,0.0027539624448839973,2.431849640289739,0.001953125,0.0390625,True
0.9,0.9097599804401397,0.9088579797744751,0.0009020006656646817,0.0005831151486255846,0.0012208861827037788,2.0234609942923663,0.001953125,0.0390625,True
0.95,0.9099199771881104,0.9098379790782929,8.199810981751599e-05,-0.0005964641891844436,0.0007604604088194756,0.08645714613883297,1.0,1.0,False
1.0,0.9106000065803528,0.9106000065803528,0.0,0.0,0.0,,1.0,1.0,False
