dataset,model,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100,r50,geo_r,0.05,5,0.569759976863861,0.5466799855232238,0.023079991340637207,-0.02835357266763546,0.07451355534890988,0.5571769112075241,0.02559998631477356,0.2807959641930468,1.0,0.701989910482617,False,False
imagenet100,r50,geo_r,0.1,5,0.7220799803733826,0.7247199654579163,-0.0026399850845336913,-0.030508311472020527,0.025228341302953147,-0.11762365596278682,-0.00830000638961792,0.8055313312251662,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,0.15,5,0.777079975605011,0.7811599850654602,-0.004080009460449219,-0.021958756019718008,0.013798737098819569,-0.28335324529471656,-0.006700009107589722,0.560763656018199,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,0.2,5,0.8065199851989746,0.8075599789619445,-0.0010399937629699707,-0.011057357896483874,0.00897737037054393,-0.12890844304202206,0.0006000101566314697,0.7874762608710086,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,0.25,5,0.8183599829673767,0.8239599823951721,-0.00559999942779541,-0.019538782254000797,0.008338783398409976,-0.4988468337696435,-0.007999986410140991,0.327145499656814,1.0,0.7269899992373644,False,False
imagenet100,r50,geo_r,0.3,5,0.8321199655532837,0.8333999633789062,-0.0012799978256225586,-0.012190571065525046,0.00963057541427993,-0.1456685348155763,-0.0029000043869018555,0.7609599448343571,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,0.35,5,0.8362399697303772,0.8410399794578552,-0.0048000097274780275,-0.011327882828543832,0.0017278633735877775,-0.9130078323158946,-0.004200011491775513,0.11074863176336505,1.0,0.701989910482617,False,False
imagenet100,r50,geo_r,0.4,5,0.8417999863624572,0.8447999715805053,-0.002999985218048096,-0.008466092807120509,0.002466122371024318,-0.6814673110058393,-0.0034999847412109375,0.20223203947599908,1.0,0.701989910482617,False,False
imagenet100,r50,geo_r,0.45,5,0.8461599707603454,0.8478399634361267,-0.00167999267578125,-0.005399192100541796,0.0020392067489792966,-0.560869742255859,-0.0009000003337860107,0.2780803080119068,1.0,0.701989910482617,False,False
imagenet100,r50,geo_r,0.5,5,0.8490799784660339,0.8509199857711792,-0.0018400073051452637,-0.007407883843150911,0.0037278692328603837,-0.41033072691822764,-0.001199960708618164,0.41078318793467555,1.0,0.7468785235175919,False,False
imagenet100,r50,geo_r,0.55,5,0.8518799781799317,0.853279983997345,-0.0014000058174133301,-0.005318647213705316,0.002518635578878656,-0.4436070170653701,-0.001399993896484375,0.37737725749668943,1.0,0.7468785235175919,False,False
imagenet100,r50,geo_r,0.6,5,0.8549599885940552,0.8557999730110168,-0.0008399844169616699,-0.005055808437729613,0.003375839603806273,-0.247396097288591,-0.0006999671459197998,0.6095919313901359,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,0.65,5,0.8567599773406982,0.8581199765205383,-0.0013599991798400879,-0.003972807377935456,0.0012528090182552794,-0.6463015618310791,-0.0013000071048736572,0.22192544971369338,1.0,0.701989910482617,False,False
imagenet100,r50,geo_r,0.7,5,0.8600399851799011,0.8586399912834167,0.001399993896484375,-0.0014907375086332868,0.004290725301602037,0.6013433195115201,0.001399993896484375,0.2499270770836977,1.0,0.701989910482617,False,False
imagenet100,r50,geo_r,0.75,5,0.8609999656677246,0.859879982471466,0.001119983196258545,0.0004966784814948771,0.0017432879110222128,2.2310802091633337,0.0009999871253967285,0.00754982180158243,0.15099643603164858,0.15099643603164858,False,False
imagenet100,r50,geo_r,0.8,5,0.8621599793434143,0.8624799728393555,-0.00031999349594116213,-0.0027506072409797674,0.0021106202490974433,-0.1634666982281846,-0.000299990177154541,0.7332303128623562,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,0.85,5,0.8630399703979492,0.8612399697303772,0.0018000006675720215,-0.0007567511244429984,0.004356752459587041,0.8741544770388062,0.0015999972820281982,0.12230017704676684,1.0,0.701989910482617,False,False
imagenet100,r50,geo_r,0.9,5,0.8634799838066101,0.8637199878692627,-0.00024000406265258789,-0.0019095669380456072,0.0014295588127404316,-0.17849247153882,-0.00020003318786621094,0.7101948610321867,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,0.95,5,0.8651199698448181,0.864799976348877,0.00031999349594116213,-0.0019735244569215275,0.0026135114488038515,0.17323797403616428,0.000599980354309082,0.718209629154729,1.0,0.8479277170791224,False,False
imagenet100,r50,geo_r,1.0,5,0.866759979724884,0.866759979724884,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,False,False
imagenet100,r50,geo_m,0.05,5,0.5466799855232238,0.5415599822998047,0.005120003223419189,-0.037985840773006374,0.048225847219844756,0.14748171207908595,0.0065000057220458984,0.75811408781683,1.0,0.9476426097710375,False,False
imagenet100,r50,geo_m,0.1,5,0.7213599681854248,0.712119996547699,0.00923997163772583,-0.025232003775555165,0.043711947051006825,0.3328193406220597,0.007599949836730957,0.49809390755252053,1.0,0.9388131981269082,False,False
imagenet100,r50,geo_m,0.15,5,0.7793999791145325,0.7711199760437012,0.008280003070831298,-0.010264968203137421,0.026824974344800016,0.5543811077507078,0.008199989795684814,0.28286876232172686,1.0,0.9388131981269082,False,False
imagenet100,r50,geo_m,0.2,5,0.8035599708557128,0.8028399825096131,0.0007199883460998535,-0.008257155407762107,0.009697132099961814,0.09958441493084798,0.0004999637603759766,0.8346949360280761,1.0,0.9819940423859718,False,False
imagenet100,r50,geo_m,0.25,5,0.8186399817466736,0.8187999963760376,-0.00016001462936401367,-0.006394117597043221,0.006074088338315193,-0.031870568307468886,-0.0010000169277191162,0.9466079083405342,1.0,1.0,False,False
imagenet100,r50,geo_m,0.3,5,0.8289599776268005,0.8304399728775025,-0.0014799952507019043,-0.005696546275153643,0.002736555773749835,-0.4358198939494754,-0.0012000203132629395,0.3849787138480103,1.0,0.9388131981269082,False,False
imagenet100,r50,geo_m,0.35,5,0.8370399832725525,0.8356799721717835,0.001360011100769043,-0.005649411704674103,0.00836943390621219,0.2409152462127203,0.000800013542175293,0.6186731647597984,1.0,0.9388131981269082,False,False
imagenet100,r50,geo_m,0.4,5,0.8394799709320069,0.8425999879837036,-0.003120017051696777,-0.008576560458316741,0.0023365263549231866,-0.7099756307580598,-0.003200024366378784,0.18757993063990724,1.0,0.9183981166743511,False,False
imagenet100,r50,geo_m,0.45,5,0.846079969406128,0.8445599794387817,0.0015199899673461914,-0.00650505204012851,0.009545031974820893,0.2351784349947069,-0.00020000338554382324,0.6267811083894977,1.0,0.9388131981269082,False,False
imagenet100,r50,geo_m,0.5,5,0.8487199664115905,0.8495199680328369,-0.0008000016212463378,-0.005772874169192376,0.0041728709266997,-0.1997503861257214,-0.0020000040531158447,0.6782394294063269,1.0,0.9388131981269082,False,False
imagenet100,r50,geo_m,0.55,5,0.8512799859046936,0.8521999835968017,-0.0009199976921081543,-0.007179273811946071,0.0053392784277297625,-0.1825016169363091,-0.00279998779296875,0.7041098985951811,1.0,0.9388131981269082,False,False
imagenet100,r50,geo_m,0.6,5,0.8545199751853942,0.8561599731445313,-0.0016399979591369628,-0.00225833725034372,-0.0010216586679302054,-3.2932185483699397,-0.0017999708652496338,0.001811912296648327,0.03623824593296654,0.03623824593296654,True,True
