config,seed,k_frac,arm,total_neurons,ridge_a1,ridge_a01,ridge_a10,logistic,knn20,archived,n_shuf_reps
cifar10_r50_geo_m,0,0.05,orig,2048,0.8506999611854553,0.8506999611854553,0.8506999611854553,0.8743999600410461,0.8377,0.8506999611854553,1.0
cifar10_r50_geo_m,0,0.05,shuf,2048,0.7412799835205078,0.7412999868392944,0.7412799835205078,0.7887199878692627,0.69484,0.7412799835205078,5.0
cifar10_r50_geo_m,0,0.1,orig,2048,0.8750999569892883,0.8750999569892883,0.8750999569892883,0.8944999575614929,0.856,0.8750999569892883,1.0
cifar10_r50_geo_m,0,0.1,shuf,2048,0.8095399737358093,0.8095399737358093,0.8095399737358093,0.8415799856185913,0.7457,0.8095399737358093,5.0
cifar10_r50_geo_m,0,0.15,orig,2048,0.8851000070571899,0.8851000070571899,0.8851000070571899,0.9032999873161316,0.8645,0.8851000070571899,1.0
cifar10_r50_geo_m,0,0.15,shuf,2048,0.8374199748039246,0.8374199748039246,0.8374199748039246,0.8629999756813049,0.7772600000000001,0.8374199748039246,5.0
cifar10_r50_geo_m,0,0.2,orig,2048,0.8910999894142151,0.8910999894142151,0.8912000060081482,0.9039999842643738,0.869,0.8910999894142151,1.0
cifar10_r50_geo_m,0,0.2,shuf,2048,0.8555599808692932,0.8555599808692932,0.8555399775505066,0.8758999824523925,0.79762,0.8555599808692932,5.0
cifar10_r50_geo_m,0,0.25,orig,2048,0.8956999778747559,0.8956999778747559,0.8955999612808228,0.904699981212616,0.8666,0.8956999778747559,1.0
cifar10_r50_geo_m,0,0.25,shuf,2048,0.8662599921226501,0.8662599921226501,0.8662799835205078,0.8818599700927734,0.8121600000000001,0.8662599921226501,5.0
cifar10_r50_geo_m,0,0.3,orig,2048,0.8985999822616577,0.8985999822616577,0.8985999822616577,0.9035999774932861,0.8723,0.8985999822616577,1.0
cifar10_r50_geo_m,0,0.3,shuf,2048,0.8752399921417237,0.8752399921417237,0.8752399921417237,0.8847999811172486,0.82578,0.8752399921417237,5.0
cifar10_r50_geo_m,0,0.5,orig,2048,0.9073999524116516,0.9073999524116516,0.9073999524116516,0.903499960899353,0.8753,0.9073999524116516,1.0
cifar10_r50_geo_m,0,0.5,shuf,2048,0.892799973487854,0.892799973487854,0.8928599834442139,0.8890999674797058,0.8488399999999998,0.8928199768066406,5.0
cifar10_r50_geo_m,1,0.05,orig,2048,0.8485999703407288,0.8485999703407288,0.8485999703407288,0.8743000030517578,0.8328,0.8485999703407288,1.0
cifar10_r50_geo_m,1,0.05,shuf,2048,0.7375199794769287,0.7375199794769287,0.7375199794769287,0.7825799703598022,0.68854,0.7375199794769287,5.0
cifar10_r50_geo_m,1,0.1,orig,2048,0.8723999857902527,0.8723999857902527,0.8722999691963196,0.8919000029563904,0.8543,0.8723999857902527,1.0
cifar10_r50_geo_m,1,0.1,shuf,2048,0.8105599761009217,0.8105599761009217,0.810539972782135,0.8426199793815613,0.74856,0.8105599761009217,5.0
cifar10_r50_geo_m,1,0.15,orig,2048,0.8881999850273132,0.8881999850273132,0.8881999850273132,0.9020999670028687,0.8674,0.8881999850273132,1.0
cifar10_r50_geo_m,1,0.15,shuf,2048,0.837719988822937,0.837719988822937,0.8377399802207947,0.8629999756813049,0.77546,0.837719988822937,5.0
cifar10_r50_geo_m,1,0.2,orig,2048,0.8914999961853027,0.8914999961853027,0.8914999961853027,0.9044999480247498,0.8681,0.8914999961853027,1.0
cifar10_r50_geo_m,1,0.2,shuf,2048,0.8530199885368347,0.8530199885368347,0.8529799938201904,0.8732599973678589,0.79626,0.8530199885368347,5.0
cifar10_r50_geo_m,1,0.25,orig,2048,0.8940999507904053,0.8940999507904053,0.8941999673843384,0.9044999480247498,0.8714,0.8940999507904053,1.0
cifar10_r50_geo_m,1,0.25,shuf,2048,0.8660199880599976,0.8660199880599976,0.865999984741211,0.8817199826240539,0.8146000000000001,0.8660199880599976,5.0
cifar10_r50_geo_m,1,0.3,orig,2048,0.8974999785423279,0.8974999785423279,0.8974999785423279,0.902899980545044,0.8742,0.8974999785423279,1.0
cifar10_r50_geo_m,1,0.3,shuf,2048,0.8727799892425537,0.8727799892425537,0.8727599859237671,0.8828999876976014,0.82266,0.8727799892425537,5.0
cifar10_r50_geo_m,1,0.5,orig,2048,0.9088999629020691,0.9088999629020691,0.9088999629020691,0.902899980545044,0.8808,0.9088999629020691,1.0
cifar10_r50_geo_m,1,0.5,shuf,2048,0.8927199721336365,0.8927199721336365,0.8927399754524231,0.888599967956543,0.8485799999999999,0.8927199721336365,5.0
cifar10_r50_geo_m,2,0.05,orig,2048,0.8442999720573425,0.8442999720573425,0.8443999886512756,0.8700999617576599,0.8333,0.8442999720573425,1.0
cifar10_r50_geo_m,2,0.05,shuf,2048,0.7357199668884278,0.7357199668884278,0.7357399702072144,0.7851599812507629,0.6946,0.7357199668884278,5.0
cifar10_r50_geo_m,2,0.1,orig,2048,0.8750999569892883,0.8750999569892883,0.8750999569892883,0.8964999914169312,0.8588,0.8750999569892883,1.0
cifar10_r50_geo_m,2,0.1,shuf,2048,0.8082399725914001,0.8082399725914001,0.8082599759101867,0.8397799730300903,0.74764,0.8082399725914001,5.0
cifar10_r50_geo_m,2,0.15,orig,2048,0.8863999843597412,0.8863999843597412,0.8863999843597412,0.9034000039100647,0.8679,0.8863999843597412,1.0
cifar10_r50_geo_m,2,0.15,shuf,2048,0.8379999876022339,0.8379999876022339,0.8379999876022339,0.8630799770355224,0.7815799999999999,0.8379999876022339,5.0
cifar10_r50_geo_m,2,0.2,orig,2048,0.8925999999046326,0.8925999999046326,0.8926999568939209,0.9053999781608582,0.8718,0.8925999999046326,1.0
cifar10_r50_geo_m,2,0.2,shuf,2048,0.8554999828338623,0.8554999828338623,0.8555199861526489,0.8755199670791626,0.79986,0.8554999828338623,5.0
cifar10_r50_geo_m,2,0.25,orig,2048,0.8949999809265137,0.8949999809265137,0.8949999809265137,0.9045999646186829,0.8723,0.8949999809265137,1.0
cifar10_r50_geo_m,2,0.25,shuf,2048,0.8654199838638306,0.8654199838638306,0.8654199838638306,0.8812199831008911,0.813,0.8654199838638306,5.0
cifar10_r50_geo_m,2,0.3,orig,2048,0.8984999656677246,0.8984999656677246,0.8983999490737915,0.905299961566925,0.8759,0.8984999656677246,1.0
cifar10_r50_geo_m,2,0.3,shuf,2048,0.8726199865341187,0.8726199865341187,0.8726199865341187,0.8849199891090394,0.82248,0.8726199865341187,5.0
cifar10_r50_geo_m,2,0.5,orig,2048,0.9072999954223633,0.9072999954223633,0.9072999954223633,0.9036999940872192,0.8771,0.9072999954223633,1.0
cifar10_r50_geo_m,2,0.5,shuf,2048,0.8941799759864807,0.8941799759864807,0.8940799713134766,0.887339973449707,0.84902,0.8941799759864807,5.0
cifar10_r50_geo_m,3,0.05,orig,2048,0.8473999500274658,0.8473999500274658,0.8472999930381775,0.8700999617576599,0.8301,0.8473999500274658,1.0
cifar10_r50_geo_m,3,0.05,shuf,2048,0.7344399690628052,0.7344399690628052,0.7344599723815918,0.777679979801178,0.68818,0.7344399690628052,5.0
cifar10_r50_geo_m,3,0.1,orig,2048,0.8705999851226807,0.8707000017166138,0.8705999851226807,0.8925999999046326,0.8556,0.8707000017166138,1.0
cifar10_r50_geo_m,3,0.1,shuf,2048,0.8124999761581421,0.8124999761581421,0.8125199675559998,0.8453799724578858,0.75642,0.8124999761581421,5.0
cifar10_r50_geo_m,3,0.15,orig,2048,0.8878999948501587,0.8878999948501587,0.8878999948501587,0.9018999934196472,0.8662,0.8878999948501587,1.0
cifar10_r50_geo_m,3,0.15,shuf,2048,0.8403199791908265,0.8403199791908265,0.840339970588684,0.8656799793243408,0.78888,0.8403199791908265,5.0
cifar10_r50_geo_m,3,0.2,orig,2048,0.8902999758720398,0.8902999758720398,0.8902999758720398,0.9039999842643738,0.8713,0.8902999758720398,1.0
cifar10_r50_geo_m,3,0.2,shuf,2048,0.8511799812316895,0.8511799812316895,0.8511999845504761,0.8727999806404114,0.79868,0.8511799812316895,5.0
cifar10_r50_geo_m,3,0.25,orig,2048,0.8958999514579773,0.8958999514579773,0.8958999514579773,0.9042999744415283,0.8723,0.8958999514579773,1.0
cifar10_r50_geo_m,3,0.25,shuf,2048,0.864359974861145,0.864359974861145,0.864359974861145,0.8809199810028077,0.8160999999999999,0.864359974861145,5.0
cifar10_r50_geo_m,3,0.3,orig,2048,0.8977999687194824,0.8977999687194824,0.8978999853134155,0.9025999903678894,0.874,0.8977999687194824,1.0
cifar10_r50_geo_m,3,0.3,shuf,2048,0.8733799815177917,0.8733799815177917,0.8733799815177917,0.8864799857139587,0.82452,0.8733799815177917,5.0
cifar10_r50_geo_m,3,0.5,orig,2048,0.9073999524116516,0.9073999524116516,0.9073999524116516,0.9010999798774719,0.8814,0.9073999524116516,1.0
cifar10_r50_geo_m,3,0.5,shuf,2048,0.8930599689483643,0.8930599689483643,0.8930599689483643,0.8882399678230286,0.8486,0.8930599689483643,5.0
cifar10_r50_geo_m,4,0.05,orig,2048,0.8463000059127808,0.8463000059127808,0.8463000059127808,0.8682000041007996,0.827,0.8463000059127808,1.0
cifar10_r50_geo_m,4,0.05,shuf,2048,0.7404599785804749,0.7404599785804749,0.7404599785804749,0.7845399856567383,0.6909,0.7404599785804749,5.0
cifar10_r50_geo_m,4,0.1,orig,2048,0.8748999834060669,0.8748999834060669,0.875,0.8950999975204468,0.86,0.8748999834060669,1.0
cifar10_r50_geo_m,4,0.1,shuf,2048,0.8122799873352051,0.8122799873352051,0.8122599840164184,0.8422399640083313,0.75474,0.8122799873352051,5.0
cifar10_r50_geo_m,4,0.15,orig,2048,0.8868999481201172,0.8868999481201172,0.8868999481201172,0.9023999571800232,0.8663,0.8868999481201172,1.0
cifar10_r50_geo_m,4,0.15,shuf,2048,0.8383599758148194,0.8383599758148194,0.838379967212677,0.8642799735069275,0.7838,0.8383599758148194,5.0
cifar10_r50_geo_m,4,0.2,orig,2048,0.892799973487854,0.892799973487854,0.892799973487854,0.9053999781608582,0.8694,0.892799973487854,1.0
cifar10_r50_geo_m,4,0.2,shuf,2048,0.8546999812126159,0.8546999812126159,0.8546799778938293,0.8737599849700928,0.7984,0.8546999812126159,5.0
cifar10_r50_geo_m,4,0.25,orig,2048,0.8947999477386475,0.8947999477386475,0.8947999477386475,0.9068999886512756,0.8717,0.8947999477386475,1.0
cifar10_r50_geo_m,4,0.25,shuf,2048,0.8648399710655212,0.8648399710655212,0.8648599743843078,0.8803799629211426,0.81408,0.8648399710655212,5.0
cifar10_r50_geo_m,4,0.3,orig,2048,0.8977999687194824,0.8977999687194824,0.8977999687194824,0.9048999547958374,0.8719,0.8977999687194824,1.0
cifar10_r50_geo_m,4,0.3,shuf,2048,0.8741399884223938,0.8741399884223938,0.8741199851036072,0.8858399748802185,0.8251200000000001,0.8741399884223938,5.0
cifar10_r50_geo_m,4,0.5,orig,2048,0.9085999727249146,0.9085999727249146,0.9085999727249146,0.9013999700546265,0.8797,0.9085999727249146,1.0
cifar10_r50_geo_m,4,0.5,shuf,2048,0.8912399768829345,0.8912399768829345,0.891219973564148,0.8885599732398987,0.8476800000000001,0.8912799715995788,5.0
cifar10_r50_geo_m,5,0.05,orig,2048,0.8467999696731567,0.8467999696731567,0.8467999696731567,0.8712999820709229,0.8286,0.8467999696731567,1.0
cifar10_r50_geo_m,5,0.05,shuf,2048,0.7408599853515625,0.7408599853515625,0.7408599853515625,0.7864999771118164,0.693,0.7408599853515625,5.0
cifar10_r50_geo_m,5,0.1,orig,2048,0.8737999796867371,0.8737999796867371,0.8737999796867371,0.8919000029563904,0.8541,0.8737999796867371,1.0
cifar10_r50_geo_m,5,0.1,shuf,2048,0.8102399826049804,0.8102399826049804,0.8102399826049804,0.8411799907684326,0.74938,0.8102399826049804,5.0
cifar10_r50_geo_m,5,0.15,orig,2048,0.887499988079071,0.887499988079071,0.887499988079071,0.902899980545044,0.8649,0.887499988079071,1.0
cifar10_r50_geo_m,5,0.15,shuf,2048,0.8397199869155884,0.8397199869155884,0.8396999835968018,0.8639399886131287,0.7820199999999999,0.8397199869155884,5.0
cifar10_r50_geo_m,5,0.2,orig,2048,0.8876999616622925,0.8876999616622925,0.8876999616622925,0.9017999768257141,0.8677,0.8876999616622925,1.0
cifar10_r50_geo_m,5,0.2,shuf,2048,0.8537999749183655,0.8537799715995789,0.8537999749183655,0.873039984703064,0.7981199999999999,0.8537999749183655,5.0
cifar10_r50_geo_m,5,0.25,orig,2048,0.8980000019073486,0.8980000019073486,0.8980000019073486,0.9053999781608582,0.8695,0.8980000019073486,1.0
cifar10_r50_geo_m,5,0.25,shuf,2048,0.8687399744987487,0.8687399744987487,0.868779981136322,0.8830399751663208,0.81774,0.8687399744987487,5.0
cifar10_r50_geo_m,5,0.3,orig,2048,0.8969999551773071,0.8969999551773071,0.8970999717712402,0.9004999995231628,0.874,0.8969999551773071,1.0
cifar10_r50_geo_m,5,0.3,shuf,2048,0.8743799805641175,0.8743799805641175,0.8743399739265442,0.8837999820709228,0.8266199999999999,0.8743799805641175,5.0
cifar10_r50_geo_m,5,0.5,orig,2048,0.9085999727249146,0.9085999727249146,0.9085999727249146,0.8998000025749207,0.8783,0.9085999727249146,1.0
cifar10_r50_geo_m,5,0.5,shuf,2048,0.8927599906921386,0.8927599906921386,0.892739987373352,0.8888999700546265,0.8488800000000001,0.8927799940109253,5.0
cifar10_r50_geo_m,6,0.05,orig,2048,0.8458999991416931,0.8458999991416931,0.8458999991416931,0.8722999691963196,0.8292,0.8458999991416931,1.0
cifar10_r50_geo_m,6,0.05,shuf,2048,0.7320399761199952,0.7320399761199952,0.7319999814033509,0.7819199800491333,0.6883800000000001,0.7320399761199952,5.0
cifar10_r50_geo_m,6,0.1,orig,2048,0.8726999759674072,0.8726999759674072,0.8726999759674072,0.8977999687194824,0.8601,0.8726999759674072,1.0
cifar10_r50_geo_m,6,0.1,shuf,2048,0.8136999845504761,0.8136999845504761,0.8136999845504761,0.8445199608802796,0.75362,0.8136999845504761,5.0
cifar10_r50_geo_m,6,0.15,orig,2048,0.8851999640464783,0.8851999640464783,0.8851999640464783,0.8999999761581421,0.8664,0.8851999640464783,1.0
cifar10_r50_geo_m,6,0.15,shuf,2048,0.8403999924659729,0.8403999924659729,0.8403999924659729,0.8654599785804749,0.77748,0.8403999924659729,5.0
cifar10_r50_geo_m,6,0.2,orig,2048,0.8922999501228333,0.8922999501228333,0.8922999501228333,0.9042999744415283,0.8707,0.8922999501228333,1.0
cifar10_r50_geo_m,6,0.2,shuf,2048,0.8541599750518799,0.8541599750518799,0.8541599750518799,0.873419976234436,0.79794,0.8541599750518799,5.0
