k,geo_m,geo_r,magnitude,variance,rate,probe_weight,bestof_random,geo_m_shuf,geo_r_shuf
0.05,0.8172399759292602,0.5946399807929993,0.701199984550476,0.787999975681305,0.6043599843978882,0.8438799738883972,0.33199999332427976,0.34395999312400816,0.34571999311447144
0.1,0.8816399693489074,0.7443999767303466,0.85343998670578,0.8799999713897705,0.7462799787521363,0.8793999791145325,0.5093999862670898,0.5188400030136109,0.5339599788188935
0.15,0.8847599864006043,0.7952799797058105,0.8811599731445312,0.884559977054596,0.7988399863243103,0.8817599773406982,0.6271999835968017,0.6322799921035767,0.6379999876022339
0.2,0.8847999811172486,0.8174799799919128,0.8835599780082702,0.8853599786758423,0.8274799704551696,0.8822799801826477,0.7078799843788147,0.7121599912643433,0.7199199795722961
0.25,0.8863199710845947,0.830679976940155,0.8852399826049805,0.886359977722168,0.8513599753379821,0.8827199578285218,0.76735999584198,0.76211998462677,0.7683599829673767
0.3,0.8861599802970886,0.8413599848747253,0.8856799721717834,0.88711998462677,0.865719985961914,0.883519971370697,0.7960799813270569,0.7894399762153625,0.8029199838638306
0.5,0.8883599638938904,0.8593599796295166,0.8874799728393554,0.8879599809646607,0.883519983291626,0.8856799840927124,0.8582799792289734,0.8556399822235108,0.8591599702835083
0.8,0.8903199791908264,0.8724399685859681,0.8898799896240235,0.89055997133255,0.8891999840736389,0.8885999917984009,0.8836399793624878,0.8814399719238282,0.88291996717453
0.95,0.8893999814987182,0.8798799753189087,0.889519989490509,0.8895999789237976,0.8892799973487854,0.8895599722862244,0.8877599835395813,0.8879599809646607,0.8887599825859069
