dataset,model,coord_mode,null_kind,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,raw_p,holm_p,bh_p,sig_holm,sig_bh
cifar10,r50,geo_r,mean of 5 permutations,0.6,10,0.9004799783229828,0.8992919743061065,0.0011880040168762318,-0.001750267817708806,0.00412627585146127,0.2158203125,1.0,0.3597005208333333,False,False
cifar10,r50,geo_r,mean of 5 permutations,0.65,10,0.9007999718189239,0.9014919769763947,-0.0006920051574707097,-0.003505462150513036,0.002121451835571616,0.5,1.0,0.7142857142857143,False,False
cifar10,r50,geo_r,mean of 5 permutations,0.7,10,0.902269983291626,0.9033539748191834,-0.001083991527557393,-0.0037911418559172898,0.0016231588008025037,0.7216796875,1.0,0.9622395833333334,False,False
cifar10,r50,geo_r,mean of 5 permutations,0.75,10,0.9029899716377259,0.9049219715595245,-0.0019319999217987105,-0.00505433419708887,0.0011903343534914496,0.8837890625,1.0,0.9990234375,False,False
cifar10,r50,geo_r,mean of 5 permutations,0.8,10,0.9051299810409545,0.9066359746456147,-0.001505993604660061,-0.0029679249714686406,-4.4062237851481226e-05,0.9677734375,1.0,0.9990234375,False,False
cifar10,r50,geo_r,mean of 5 permutations,0.85,10,0.9037999868392944,0.9077039766311644,-0.0039039897918701216,-0.005790119303251682,-0.002017860280488561,0.9990234375,1.0,0.9990234375,False,False
cifar10,r50,geo_r,mean of 5 permutations,0.9,10,0.9054099738597869,0.9091859769821167,-0.0037760031223296963,-0.005461274175787631,-0.0020907320688717617,0.9970703125,1.0,0.9990234375,False,False
cifar10,r50,geo_r,mean of 5 permutations,0.95,10,0.9079299747943879,0.9100879800319671,-0.002158005237579352,-0.0030282324894716378,-0.0012877779856870666,0.998046875,1.0,0.9990234375,False,False
cifar10,r50,geo_r,mean of 5 permutations,1.0,10,0.9106000065803528,0.9106000065803528,0.0,0.0,0.0,0.5,1.0,0.7142857142857143,False,False
cifar10,r50,geo_m,mean of 5 permutations,0.05,10,0.8474799752235412,0.7381439781188964,0.10933599710464477,0.10662413942528709,0.11204785478400245,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.1,10,0.8735099792480469,0.8095539796352387,0.06395599961280823,0.06133488395062994,0.06657711527498653,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.15,10,0.886359977722168,0.8381019818782807,0.048257995843887326,0.04715420019173954,0.04936179149603511,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.2,10,0.8910599827766419,0.8536959815025329,0.037364001274108896,0.03579581014010079,0.038932192408117,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.25,10,0.8948799669742584,0.8658059811592101,0.02907398581504821,0.028058324014959283,0.030089647615137136,0.0009765625,0.01953125,0.0010850694444444445,True,True
cifar10,r50,geo_m,mean of 5 permutations,0.3,10,0.8981699764728546,0.8737539803981781,0.024415996074676503,0.023398031437557535,0.025433960711795472,0.0009765625,0.01953125,0.0010850694444444445,True,True
