dataset,arm,seed,k_frac,k_neurons,reference,jaccard,jaccard_null_expected,calib
cifar10,geo_m,3,0.5,1024,rate,0.7474402730375427,0.3333333333333333,full_train
cifar10,geo_m,3,0.5,1024,probe_weight,0.6292760540970564,0.3333333333333333,full_train
cifar10,geo_m,4,0.05,102,magnitude,0.07368421052631578,0.02553830746119179,full_train
cifar10,geo_m,4,0.05,102,variance,0.20710059171597633,0.02553830746119179,full_train
cifar10,geo_m,4,0.05,102,rate,0.0,0.02553830746119179,full_train
cifar10,geo_m,4,0.05,102,probe_weight,0.2670807453416149,0.02553830746119179,full_train
cifar10,geo_m,4,0.1,204,magnitude,0.4729241877256318,0.052415210688591986,full_train
cifar10,geo_m,4,0.1,204,variance,0.7,0.052415210688591986,full_train
cifar10,geo_m,4,0.1,204,rate,0.2553846153846154,0.052415210688591986,full_train
cifar10,geo_m,4,0.1,204,probe_weight,0.3161290322580645,0.052415210688591986,full_train
cifar10,geo_m,4,0.2,409,magnitude,0.5036764705882353,0.11093029563330621,full_train
cifar10,geo_m,4,0.2,409,variance,0.6592292089249493,0.11093029563330621,full_train
cifar10,geo_m,4,0.2,409,rate,0.30670926517571884,0.11093029563330621,full_train
cifar10,geo_m,4,0.2,409,probe_weight,0.44778761061946903,0.11093029563330621,full_train
cifar10,geo_m,4,0.5,1024,magnitude,0.8771769019248395,0.3333333333333333,full_train
cifar10,geo_m,4,0.5,1024,variance,0.9393939393939394,0.3333333333333333,full_train
cifar10,geo_m,4,0.5,1024,rate,0.7564322469982847,0.3333333333333333,full_train
cifar10,geo_m,4,0.5,1024,probe_weight,0.6331738437001595,0.3333333333333333,full_train
cifar10,geo_m,5,0.05,102,magnitude,0.10270270270270271,0.02553830746119179,full_train
cifar10,geo_m,5,0.05,102,variance,0.25153374233128833,0.02553830746119179,full_train
cifar10,geo_m,5,0.05,102,rate,0.009900990099009901,0.02553830746119179,full_train
cifar10,geo_m,5,0.05,102,probe_weight,0.2670807453416149,0.02553830746119179,full_train
cifar10,geo_m,5,0.1,204,magnitude,0.3333333333333333,0.052415210688591986,full_train
cifar10,geo_m,5,0.1,204,variance,0.5223880597014925,0.052415210688591986,full_train
cifar10,geo_m,5,0.1,204,rate,0.1724137931034483,0.052415210688591986,full_train
cifar10,geo_m,5,0.1,204,probe_weight,0.3377049180327869,0.052415210688591986,full_train
cifar10,geo_m,5,0.2,409,magnitude,0.6392785571142284,0.11093029563330621,full_train
cifar10,geo_m,5,0.2,409,variance,0.8097345132743363,0.11093029563330621,full_train
cifar10,geo_m,5,0.2,409,rate,0.39590443686006827,0.11093029563330621,full_train
cifar10,geo_m,5,0.2,409,probe_weight,0.43006993006993005,0.11093029563330621,full_train
cifar10,geo_m,5,0.5,1024,magnitude,0.7777777777777778,0.3333333333333333,full_train
cifar10,geo_m,5,0.5,1024,variance,0.8737419945105215,0.3333333333333333,full_train
cifar10,geo_m,5,0.5,1024,rate,0.6623376623376623,0.3333333333333333,full_train
cifar10,geo_m,5,0.5,1024,probe_weight,0.6397117694155324,0.3333333333333333,full_train
cifar10,geo_m,6,0.05,102,magnitude,0.1590909090909091,0.02553830746119179,full_train
cifar10,geo_m,6,0.05,102,variance,0.3246753246753247,0.02553830746119179,full_train
cifar10,geo_m,6,0.05,102,rate,0.046153846153846156,0.02553830746119179,full_train
cifar10,geo_m,6,0.05,102,probe_weight,0.2911392405063291,0.02553830746119179,full_train
cifar10,geo_m,6,0.1,204,magnitude,0.43157894736842106,0.052415210688591986,full_train
cifar10,geo_m,6,0.1,204,variance,0.6518218623481782,0.052415210688591986,full_train
cifar10,geo_m,6,0.1,204,rate,0.2289156626506024,0.052415210688591986,full_train
cifar10,geo_m,6,0.1,204,probe_weight,0.32038834951456313,0.052415210688591986,full_train
cifar10,geo_m,6,0.2,409,magnitude,0.59765625,0.11093029563330621,full_train
cifar10,geo_m,6,0.2,409,variance,0.7821350762527233,0.11093029563330621,full_train
cifar10,geo_m,6,0.2,409,rate,0.3794266441821248,0.11093029563330621,full_train
cifar10,geo_m,6,0.2,409,probe_weight,0.46332737030411447,0.11093029563330621,full_train
cifar10,geo_m,6,0.5,1024,magnitude,0.6331738437001595,0.3333333333333333,full_train
cifar10,geo_m,6,0.5,1024,variance,0.7152428810720268,0.3333333333333333,full_train
cifar10,geo_m,6,0.5,1024,rate,0.5340823970037453,0.3333333333333333,full_train
cifar10,geo_m,6,0.5,1024,probe_weight,0.5937743190661479,0.3333333333333333,full_train
cifar10,geo_m,7,0.05,102,magnitude,0.23636363636363636,0.02553830746119179,full_train
cifar10,geo_m,7,0.05,102,variance,0.43661971830985913,0.02553830746119179,full_train
cifar10,geo_m,7,0.05,102,rate,0.11475409836065574,0.02553830746119179,full_train
