dataset,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100_ds96,geo_r,0.7,5,0.785919976234436,0.793559980392456,-0.0076400041580200195,-0.017942690098472353,0.002662681782432315,-0.9207616503084464,-0.00920000672340393,0.10858970817744536,0.6515382490646722,0.14478627756992715,False,False
imagenet100_ds96,geo_r,0.75,5,0.7895599961280823,0.7964799880981446,-0.006919991970062256,-0.013887929994548383,4.794605442387176e-05,-1.2331201665243152,-0.006999969482421875,0.05098858406878596,0.3569200884815017,0.07284083438397994,False,False
imagenet100_ds96,geo_r,0.8,5,0.7913599729537963,0.8000799775123596,-0.008720004558563232,-0.017017073827506297,-0.0004229352896201674,-1.304956650786155,-0.008099973201751709,0.04333122198785894,0.3466497759028715,0.0666634184428599,False,False
imagenet100_ds96,geo_r,0.85,5,0.7943999886512756,0.8027999758720398,-0.00839998722076416,-0.011885491978070305,-0.0049144824634580146,-2.9923820059438375,-0.009199976921081543,0.0025947278888324684,0.03892091833248702,0.008649092962774893,True,True
imagenet100_ds96,geo_r,0.9,5,0.798039972782135,0.8064399838447571,-0.00840001106262207,-0.012592333427917043,-0.0042076886973270965,-2.48787913050606,-0.00820004940032959,0.005113126051196474,0.06647063866555417,0.012782815127991185,False,True
imagenet100_ds96,geo_r,0.95,5,0.8002399921417236,0.8101199865341187,-0.009879994392395019,-0.015805198575068374,-0.003954790209721662,-2.070415290559153,-0.009799987077713013,0.009810236058728663,0.11772283270474396,0.021800524574952584,False,True
imagenet100_ds96,geo_r,1.0,5,0.8131999969482422,0.8131999969482422,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,False,False
imagenet100_ds96,geo_m,0.05,5,0.66451997756958,0.2837999939918518,0.3807199835777283,0.3704680277710569,0.39097193938439967,46.110840304010296,0.3797999769449234,5.305505884742574e-08,1.0611011769485148e-06,5.73936565245075e-07,True,True
imagenet100_ds96,geo_m,0.1,5,0.7763599753379822,0.44291998744010924,0.33343998789787294,0.3242829347183142,0.34259704107743166,45.21328209150361,0.3317999839782715,5.73936565245075e-08,1.0904794739656425e-06,5.73936565245075e-07,True,True
imagenet100_ds96,geo_m,0.15,5,0.7908799767494201,0.5403999924659729,0.25047998428344725,0.2396204266209221,0.2613395419459724,28.639470263937234,0.250900000333786,3.5616043047468256e-07,6.410887748544286e-06,2.3744028698312174e-06,True,True
imagenet100_ds96,geo_m,0.2,5,0.7973199844360351,0.597159993648529,0.2001599907875061,0.18023339856520582,0.22008658300980638,12.472351100932672,0.19629999995231628,9.833421237302445e-06,0.0001081676336103269,1.966684247460489e-05,True,True
imagenet100_ds96,geo_m,0.25,5,0.8009999871253968,0.6485199689865112,0.1524800181388855,0.14103835527102537,0.16392168100674565,16.54732805494031,0.15240001678466797,3.1855754706177244e-06,4.4598056588648144e-05,9.101644201764927e-06,True,True
imagenet100_ds96,geo_m,0.3,5,0.8025199770927429,0.6847999691963196,0.11772000789642334,0.1082172571328376,0.1272227586600091,15.38172465107322,0.11870002746582031,4.26331696154841e-06,5.542312050012933e-05,1.0658292403871026e-05,True,True
imagenet100_ds96,geo_m,0.35,5,0.8039599895477295,0.7129199862480163,0.09104000329971314,0.0853191776484412,0.09676082895098508,19.759576918494744,0.09130001068115234,1.5689858940857047e-06,2.5103774305371275e-05,6.114118115279496e-06,True,True
imagenet100_ds96,geo_m,0.4,5,0.8065599918365478,0.7321999788284301,0.07436001300811768,0.07031209407489254,0.07840793194134281,22.809288570554514,0.07340002059936523,8.844068362105262e-07,1.5034916215578946e-05,4.422034181052631e-06,True,True
imagenet100_ds96,geo_m,0.45,5,0.8075999736785888,0.7443199872970581,0.06327998638153076,0.05519182769742698,0.07136814506563455,9.71450783367977,0.06259995698928833,2.6571548981539197e-05,0.00026571548981539194,4.831190723916217e-05,True,True
imagenet100_ds96,geo_m,0.5,5,0.8090799808502197,0.759719979763031,0.04936000108718872,0.046134547997319364,0.05258545417705808,19.001527721410238,0.0493999719619751,1.8342354345838487e-06,2.751353151875773e-05,6.114118115279496e-06,True,True
imagenet100_ds96,geo_m,0.55,5,0.8091999769210816,0.7705999732017517,0.03860000371932983,0.03532899809054965,0.041871009348110014,14.652446491416342,0.03810000419616699,5.1746184652778284e-06,6.209542158333394e-05,1.1499152145061841e-05,True,True
imagenet100_ds96,geo_m,0.6,5,0.8102799892425537,0.7774799704551697,0.03280001878738403,0.028347294693574065,0.037252742881194005,9.146446447314942,0.03220003843307495,3.375292314345137e-05,0.00030377630829106234,5.625487190575228e-05,True,True
imagenet100_ds96,geo_m,0.65,5,0.8101599931716919,0.782919979095459,0.02724001407623291,0.023112864323457615,0.0313671638290082,8.195230804571121,0.02730002999305725,5.216671154504109e-05,0.0004173336923603287,7.93729253577795e-05,True,True
imagenet100_ds96,geo_m,0.7,5,0.8099599838256836,0.7904399752616882,0.019520008563995363,0.01552891633664345,0.023511100791347276,6.072846854411987,0.019500017166137695,0.00017025561716372896,0.0008512780858186449,0.0002128195214546612,True,True
imagenet100_ds96,geo_m,0.75,5,0.8107199788093566,0.7963999748229981,0.014320003986358642,0.012115559295572991,0.016524448677144293,8.06581062265572,0.014200001955032349,5.5561047750445645e-05,0.0004173336923603287,7.93729253577795e-05,True,True
imagenet100_ds96,geo_m,0.8,5,0.8116399645805359,0.8001999855041504,0.011439979076385498,0.008661307013443371,0.014218651139327625,5.112013882023931,0.011199980974197388,0.00033419764470713273,0.001336790578828531,0.0003931736996554503,True,True
imagenet100_ds96,geo_m,0.85,5,0.8112399816513062,0.8012799739837646,0.009960007667541505,0.008375735703880996,0.011544279631202014,7.8060984643352755,0.010000020265579224,6.32457780250135e-05,0.0004173336923603287,8.432770403335133e-05,True,True
imagenet100_ds96,geo_m,0.9,5,0.8122399806976318,0.8078399777412415,0.004400002956390381,0.0029734380287752063,0.005826567884005556,3.8297067011686905,0.004400014877319336,0.0010210907504934114,0.0030632722514802343,0.0011345452783260127,True,True
imagenet100_ds96,geo_m,0.95,5,0.8126399755477905,0.8099999904632569,0.0026399850845336913,0.0004864941803551584,0.004793475988712224,1.5221677643959288,0.0025999844074249268,0.02718526906208637,0.05437053812417274,0.02861607269693302,False,True
imagenet100_ds96,geo_m,1.0,5,0.8131999969482422,0.8131999969482422,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,False,False
