dataset,model,coord,d,k_frac,orig_mean,gap,ci_lo,ci_hi
imagenet100,r50,geo_pca,2,0.1,0.695199978351593,0.18555999398231507,0.13894274241132681,0.23217724555330332
imagenet100,r50,geo_pca,2,0.15,0.7416399717330933,0.09980000257492065,0.06722316811077478,0.13237683703906652
imagenet100,r50,geo_pca,2,0.2,0.7738399863243103,0.051120007038116456,0.028998347549777433,0.07324166652645547
imagenet100,r50,geo_pca,2,0.25,0.7982799768447876,0.03020000457763672,0.013691721660928285,0.04670828749434515
imagenet100,r50,geo_pca,2,0.3,0.8103999733924866,0.010639989376068115,-0.0019073326664351305,0.02318731141857136
imagenet100,r50,geo_pca,2,0.35,0.8220799684524536,0.0014399886131286621,-0.008397876149384653,0.011277853375641977
imagenet100,r50,geo_pca,2,0.4,0.8285999894142151,-0.011839985847473145,-0.0202888223281977,-0.0033911493667485894
imagenet100,r50,geo_pca,2,0.45,0.8343199849128723,-0.016399991512298585,-0.023346251090074748,-0.009453731934522421
imagenet100,r50,geo_pca,2,0.5,0.8345199704170227,-0.024240005016326904,-0.03567633583416807,-0.01280367419848574
imagenet100,r50,geo_pca,2,0.55,0.8415599703788758,-0.024760007858276367,-0.034143822073832486,-0.015376193642720252
imagenet100,r50,geo_pca,2,0.6,0.846999979019165,-0.024400007724761964,-0.02973322854238409,-0.019066786907139838
imagenet100,r50,geo_pca,2,0.65,0.8569199800491333,-0.017479991912841795,-0.020253507388875585,-0.014706476436808006
imagenet100,r50,geo_pca,2,0.7,0.8558799743652343,-0.02163999080657959,-0.029575840217171596,-0.013704141395987583
imagenet100,r50,geo_pca,2,0.75,0.8630399703979492,-0.017719995975494385,-0.02063137480225797,-0.014808617148730802
imagenet100,r50,geo_pca,2,0.8,0.8645999789237976,-0.017759990692138673,-0.021806145773006595,-0.01371383561127075
imagenet100,r50,geo_pca,2,0.85,0.8661999821662902,-0.01748000383377075,-0.019859941630784594,-0.01510006603675691
imagenet100,r50,geo_pca,2,0.9,0.8687599778175354,-0.017799997329711915,-0.023479257247397134,-0.012120737412026697
imagenet100,r50,geo_pca,2,0.95,0.8773599743843079,-0.011000001430511474,-0.013832153995007614,-0.008167848866015334
imagenet100,r50,geo_pca,2,1.0,0.8899999856948853,0.0,0.0,0.0
imagenet100,r50,geo_pca,3,0.05,0.5744399666786194,0.23847997784614564,0.1967106193362223,0.28024933635606897
imagenet100,r50,geo_pca,3,0.1,0.6827599883079529,0.15740000009536742,0.11074509529628745,0.2040549048944474
imagenet100,r50,geo_pca,3,0.15,0.7491999745368958,0.10687997341156005,0.07777820415340765,0.13598174266971247
imagenet100,r50,geo_pca,3,0.2,0.7941199779510498,0.0676800012588501,0.05612924345708964,0.07923075906061056
imagenet100,r50,geo_pca,3,0.25,0.8009999871253968,0.026080012321472168,0.014317654286511676,0.03784237035643266
imagenet100,r50,geo_pca,3,0.3,0.8139999866485595,0.0067599892616271974,-0.006339153205714287,0.019859131728968683
imagenet100,r50,geo_pca,3,0.35,0.8232800006866455,-0.0045599699020385746,-0.015152971396396701,0.006033031592319552
imagenet100,r50,geo_pca,3,0.4,0.8324399828910828,-0.010799992084503173,-0.015247083476030446,-0.0063529006929759
imagenet100,r50,geo_pca,3,0.45,0.8337199687957764,-0.017680013179779054,-0.02576187671207144,-0.009598149647486667
imagenet100,r50,geo_pca,3,0.5,0.841919994354248,-0.017199993133544922,-0.022224625404725987,-0.012175360862363859
imagenet100,r50,geo_pca,3,0.55,0.8443199872970581,-0.021679985523223876,-0.026412641684285552,-0.0169473293621622
imagenet100,r50,geo_pca,3,0.6,0.8516799807548523,-0.021439993381500246,-0.02365539260955756,-0.01922459415344293
imagenet100,r50,geo_pca,3,0.65,0.853279983997345,-0.02200000286102295,-0.026794582797339928,-0.01720542292470597
imagenet100,r50,geo_pca,3,0.7,0.8568399906158447,-0.0212399959564209,-0.026067173225770686,-0.01641281868707111
imagenet100,r50,geo_pca,3,0.75,0.8600399732589722,-0.019359993934631347,-0.023802598328201703,-0.01491738954106099
imagenet100,r50,geo_pca,3,0.8,0.8633199810981751,-0.01839998960494995,-0.02165145597313657,-0.015148523236763328
imagenet100,r50,geo_pca,3,0.85,0.8647999882698059,-0.01863999366760254,-0.020933777218923418,-0.01634621011628166
imagenet100,r50,geo_pca,3,0.9,0.8715199828147888,-0.014479994773864746,-0.015907454656696268,-0.013052534891033226
imagenet100,r50,geo_pca,3,0.95,0.8776399850845337,-0.010399985313415527,-0.011437117513664982,-0.009362853113166071
imagenet100,r50,geo_pca,3,1.0,0.8899999856948853,0.0,0.0,0.0
imagenet100,r50,geo_pca,5,0.05,0.5792799830436707,0.24279999136924743,0.2254387674062563,0.26016121533223857
imagenet100,r50,geo_pca,5,0.1,0.7211199998855591,0.19324002265930176,0.1821654804892131,0.20431456482939042
imagenet100,r50,geo_pca,5,0.15,0.7599199652671814,0.10907998085021972,0.08835263889556644,0.129807322804873
