dataset,model,coord,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,cohens_dz,hodges_lehmann,p_two_sided,holm_p,bh_p,sig_holm,sig_bh
imagenet100,r50,geo_m,0.05,10,0.8173799872398376,0.3433199912309647,0.474059996008873,0.4605300096162489,0.4875899824014971,25.064481378506496,0.4739999920129776,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.1,10,0.8814599752426148,0.5191599994897842,0.3622999757528305,0.35189225378460853,0.3727076977210525,24.902066992097765,0.36249998211860657,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.15,10,0.8851799845695496,0.6346399843692779,0.2505400002002716,0.23953124046435917,0.26154875993618404,16.280264413482648,0.2508000135421753,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.2,10,0.8851599812507629,0.7111599862575531,0.17399999499320984,0.16739628121334094,0.18060370877307874,18.84880268988955,0.17400002479553223,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.25,10,0.8861599802970886,0.7610599875450135,0.1250999927520752,0.11842631128791056,0.13177367421623984,13.409561758770414,0.12449997663497925,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.3,10,0.886519980430603,0.7946399748325348,0.09188000559806823,0.08687900515984945,0.09688100603628702,13.142769599238742,0.09130001068115234,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.35,10,0.8866799771785736,0.8170799851417542,0.06959999203681946,0.06427101681621235,0.07492896725742658,9.343041184824612,0.06859996914863586,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.4,10,0.8872799754142762,0.8346999883651733,0.052579987049102786,0.048823346297512435,0.05633662780069314,10.012524310582632,0.052499979734420776,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.45,10,0.8877399742603302,0.8461599826812745,0.041579991579055786,0.03745568568426952,0.045704297473842054,7.212009701773365,0.041399985551834106,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.5,10,0.8879399716854095,0.8572599828243256,0.030679988861083984,0.0275708064366053,0.03378917128556267,7.058814476142989,0.031199991703033447,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.55,10,0.8882399678230286,0.8661199808120728,0.02211998701095581,0.019703055736933837,0.024536918284977782,6.5470150675557806,0.022100001573562622,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.6,10,0.8882999837398529,0.8703199803829194,0.017980003356933595,0.01571739431686451,0.02024261239700268,5.684640758955621,0.018200010061264038,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.65,10,0.8881799817085266,0.8735999763011932,0.014580005407333374,0.012288443978414774,0.016871566836251975,4.551441399564615,0.0147000253200531,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.7,10,0.8887799739837646,0.8771399736404419,0.011640000343322753,0.009550519737994473,0.013729480948651033,3.985083474746404,0.011399984359741211,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.75,10,0.8896199822425842,0.8799799799919128,0.009640002250671386,0.007863523775267599,0.011416480726075174,3.8818608156921703,0.009600013494491577,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.8,10,0.8899199843406678,0.881419974565506,0.008500009775161743,0.007012795574611751,0.009987223975711735,4.088543998054511,0.008599996566772461,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.85,10,0.8896399855613708,0.8851399779319763,0.004500007629394532,0.003524390868691292,0.005475624390097771,3.299565633013186,0.004400014877319336,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.9,10,0.8898999750614166,0.8858799815177918,0.004019993543624878,0.0027773802253360717,0.005262606861913684,2.314259875590009,0.0042999982833862305,0.001953125,0.0390625,0.002170138888888889,True,True
imagenet100,r50,geo_m,0.95,10,0.8894399762153625,0.887699979543686,0.0017399966716766357,0.00049446438914017,0.002985528954213101,0.9993467474926012,0.001600027084350586,0.0078125,0.0390625,0.008223684210526315,True,True
imagenet100,r50,geo_m,1.0,10,0.8899999856948853,0.8899999856948853,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,False,False
