mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.4406426429748535,0.1575870281826298,0.04983339387542549,0.32791167407023014,0.5533736118794769,10
non-shuffled,0.1,0.40946211814880373,0.10177724472276065,0.032184790730027606,0.3366550632639116,0.4822691730336959,10
non-shuffled,0.2,0.5888330698013305,0.5490871185420644,0.17363659284517968,0.19603980756302647,0.9816263320396346,10
shuffled,0.05,0.314870810508728,0.05522616293728693,0.017464046131340137,0.2753643934603025,0.3543772275571535,10
shuffled,0.1,0.31298892498016356,0.019256261424634453,0.006089364532148366,0.29921382538653446,0.32676402457379267,10
shuffled,0.2,0.3284461259841919,0.026134744362993706,0.008264531825330648,0.3097504561178845,0.34714179585049926,10
