mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.6857259273529053,0.08090525063115954,0.025584486666123948,0.6278497975831878,0.7436020571226227,10
non-shuffled,0.1,0.7457137823104858,0.02567204050722002,0.008118212018691957,0.7273491108428336,0.764078453778138,10
non-shuffled,0.2,0.8729153633117676,0.044737559064350466,0.014147258359965885,0.8409120414780232,0.9049186851455119,10
shuffled,0.05,0.7023308277130127,0.13042862635321503,0.041245153136322064,0.6090278091126675,0.7956338463133579,10
shuffled,0.1,0.7654324293136596,0.044620861687129205,0.014110355409067183,0.7335125877546212,0.797352270872698,10
shuffled,0.2,0.8552261352539062,0.03840457528707583,0.012144593047857451,0.8277531571007474,0.8826991134070651,10
