mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.37562239170074463,0.03950614088724856,0.012492938676721072,0.34736140098810303,0.4038833824133862,10
non-shuffled,0.1,0.3897937536239624,0.005572925124286417,0.0017623136622322026,0.3858071231497482,0.3937803840981766,10
non-shuffled,0.2,0.43243606090545655,0.010195353478130014,0.0032240538541410528,0.425142744385884,0.4397293774250291,10
shuffled,0.05,0.37603943347930907,0.045485091976326546,0.014383649022744142,0.34350135881452903,0.4085775081440891,10
shuffled,0.1,0.3850288391113281,0.013978909051591855,0.004420519180737447,0.37502892998308895,0.3950287482395673,10
shuffled,0.2,0.43542120456695554,0.012504760483696295,0.003954352472334913,0.4264758377972133,0.44436657133669777,10
