mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5890260934829712,0.06953947869250632,0.021990313996906773,0.5392805471614578,0.6387716398044846,10
non-shuffled,0.1,0.6068747997283935,0.03909137331065772,0.012361777652559532,0.5789105158660462,0.6348390835907408,10
non-shuffled,0.2,0.6494709968566894,0.04795503161525394,0.015164712516958587,0.6151660338138283,0.6837759598995505,10
shuffled,0.05,0.6007138729095459,0.09302783823844808,0.029417985463520206,0.5341657663765059,0.6672619794425859,10
shuffled,0.1,0.6203211784362793,0.017625934514145798,0.005573809895367405,0.6077123444570869,0.6329300124154718,10
shuffled,0.2,0.6583425998687744,0.030883686308654568,0.009766279127750637,0.6362497415855008,0.680435458152048,10
