mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.5617401123046875,0.09095664808573252,0.028763017628530892,0.4966736459510076,0.6268065786583673,10
non-shuffled,0.1,0.626737380027771,0.22066994699252324,0.06978196436449967,0.46887960950258856,0.7845951505529535,10
non-shuffled,0.2,0.6130656957626343,0.035747939273425185,0.01130449097614083,0.5874931605285377,0.6386382309967308,10
shuffled,0.05,0.550970482826233,0.14355255714139717,0.0453953044508285,0.4482791697028487,0.6536617959496172,10
shuffled,0.1,0.550208854675293,0.028456005876859335,0.008998579168201239,0.5298526543544368,0.5705650549961492,10
shuffled,0.2,0.5612822294235229,0.02773759209925019,0.008771396784232182,0.5414399513598367,0.5811245074872091,10
