mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
original,0.05,0.3852496385574341,0.11765295762603256,0.03720513195535397,0.30108578280969817,0.46941349430517004,10
original,0.1,0.3901167869567871,0.02222061229059112,0.007026774584179922,0.37422111849942336,0.4060124554141508,10
original,0.15,0.3935544013977051,0.0156818926834972,0.004959049890218115,0.38233625116759734,0.40477255162781284,10
original,0.2,0.4332073926925659,0.01938425955226788,0.006129841094104223,0.41934072875438066,0.44707405663075117,10
shuffled,0.05,0.5249338150024414,0.20310046155338313,0.06422600523401502,0.37964449722080945,0.6702231327840733,10
shuffled,0.1,0.4760881423950195,0.08792981920682628,0.027805850294039123,0.41318693898311015,0.5389893458069289,10
shuffled,0.15,0.48227872848510744,0.09539382658770308,0.03016617667362698,0.41403809584693996,0.5505193611232749,10
shuffled,0.2,0.6328819036483765,0.4037045890259791,0.12766260031843105,0.34408903790945766,0.9216747693872953,10
