mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.8046799838542938,0.006160043818262756,0.0019479768952150635,0.8002733539677088,0.8090866137408789,10
non-shuffled,0.1,0.8627699851989746,0.00395249261538073,0.0012498879099598972,0.8599425423106941,0.8655974280872551,10
non-shuffled,0.2,0.8989499807357788,0.0024658797414342376,0.0007797796418999269,0.897185996633407,0.9007139648381506,10
non-shuffled,0.3,0.9110699772834778,0.001992798760081153,0.0006301783000215876,0.9096444149282088,0.9124955396387469,10
non-shuffled,0.4,0.9180499732494354,0.001385041097047126,0.0004379884519607231,0.917059174535585,0.9190407719632857,10
non-shuffled,0.5,0.9239299833774567,0.0011353416337424901,0.00035902654850429464,0.9231178088991029,0.9247421578558105,10
shuffled,0.05,0.821099978685379,0.007859886781405435,0.002485514438029115,0.8154773543960141,0.8267226029747439,10
shuffled,0.1,0.8713099777698516,0.002780261317782557,0.0008791958254654078,0.8693210986357236,0.8732988569039797,10
shuffled,0.2,0.9010999798774719,0.0017172263113685697,0.0005430346401894177,0.8998715501764896,0.9023284095784543,10
shuffled,0.3,0.9126499772071839,0.0015255262416232073,0.00048241375538856973,0.9115586814749723,0.9137412729393954,10
shuffled,0.4,0.9196499705314636,0.0016140015300333786,0.0005103920981902137,0.9184953833906785,0.9208045576722487,10
shuffled,0.5,0.9232699811458588,0.0011441257305181095,0.0003618043238041245,0.9224515229032137,0.9240884393885038,10
