mode,k_frac,mean,std,sem,ci_lo,ci_hi,n
non-shuffled,0.05,0.533597183227539,0.09040205691701793,0.02858764050219561,0.46892744749639925,0.5982669189586788,10
non-shuffled,0.1,0.5309894323348999,0.03334424665675294,0.010544376629779398,0.5071363952140131,0.5548424694557867,10
non-shuffled,0.2,0.5679386138916016,0.029575877852834026,0.009352713781388577,0.5467813054189092,0.589095922364294,10
shuffled,0.05,0.554566502571106,0.08437873473002425,0.026682898783002944,0.4942055919634249,0.614927413178787,10
shuffled,0.1,0.5300659894943237,0.034832247280308516,0.01101492374279804,0.5051485008512614,0.554983478137386,10
shuffled,0.2,0.5636097192764282,0.02584487143410512,0.008172865956599452,0.5451214120116603,0.5820980265411961,10
